88000.mdio-1:07 phy_id=0x004dd0c0
90000.mdio-1:04 phy_id=0x00000000
90000.mdio-1:05 phy_id=0x00000000
90000.mdio-1:10 phy_id=0x00000000
90000.mdio-1:11 phy_id=0x00000000
90000.mdio-1:12 phy_id=0x00000000
90000.mdio-1:13 phy_id=0x00000000
90000.mdio-1:14 phy_id=0xb00eb00e
90000.mdio-1:15 phy_id=0xb00eb00e
90000.mdio-1:16 phy_id=0xb00eb00e
90000.mdio-1:17 phy_id=0xb00eb00e
90000.mdio-1:18 phy_id=0xb00eb00e
90000.mdio-1:19 phy_id=0xb00eb00e
90000.mdio-1:1a phy_id=0xb00eb00e
90000.mdio-1:1b phy_id=0xb00eb00e
90000.mdio-1:1c phy_id=0xb00eb00e
90000.mdio-1:1d phy_id=0xb00eb00e
90000.mdio-1:1e phy_id=0xb00eb00e
90000.mdio-1:1f phy_id=0xb00eb00e
